,OverallQuality,OverallCondition,LotArea,LotShape,BldgTp,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,WdDckSqft,OpenPrchSqft,PID,SalePrice Predicted
0,8.0,5.0,8987.0,1.0,1.0,2005.0,2006.0,226.0,0.0,0.0,1595.0,3.0,1595.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,3.0,3.0,144.0,0.0,528445060.0,214329.22565522368
1,7.0,5.0,9215.0,1.0,1.0,2009.0,2010.0,0.0,0.0,0.0,1218.0,3.0,1218.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,136.0,528456160.0,199978.16654601422
2,7.0,5.0,8640.0,1.0,1.0,2009.0,2009.0,0.0,1.0,24.0,732.0,3.0,764.0,783.0,0.0,1.0,2.0,3.0,7.0,0.0,3.0,2.0,169.0,45.0,528458070.0,198975.2132862479
3,7.0,5.0,6762.0,1.0,1.0,2006.0,2006.0,24.0,1.0,686.0,501.0,3.0,1208.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,3.0,2.0,105.0,61.0,906380190.0,185976.84385359593
4,7.0,5.0,10402.0,0.0,1.0,2009.0,2009.0,0.0,0.0,0.0,1226.0,3.0,1226.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,3.0,3.0,0.0,36.0,906385010.0,181552.62154538895
5,7.0,5.0,7360.0,1.0,1.0,2010.0,2010.0,80.0,1.0,24.0,1198.0,3.0,1222.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,3.0,2.0,0.0,54.0,906385020.0,195299.5706823393
6,7.0,5.0,7795.0,0.0,1.0,2004.0,2005.0,0.0,1.0,425.0,291.0,3.0,716.0,716.0,1.0,1.0,2.0,3.0,6.0,1.0,3.0,2.0,100.0,51.0,528235010.0,186071.7846462293
7,6.0,5.0,8068.0,0.0,1.0,2002.0,2002.0,0.0,0.0,0.0,1010.0,3.0,1010.0,1257.0,0.0,1.0,2.0,4.0,8.0,1.0,2.0,2.0,120.0,46.0,528235090.0,206500.92571627614
8,7.0,5.0,10125.0,0.0,1.0,2004.0,2004.0,0.0,0.0,0.0,846.0,3.0,846.0,748.0,0.0,1.0,20.0,3.0,7.0,1.0,3.0,2.0,300.0,48.0,528240150.0,180030.03111528666
9,7.0,5.0,8965.0,0.0,1.0,2003.0,2003.0,0.0,1.0,652.0,130.0,3.0,806.0,683.0,1.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,0.0,75.0,528250020.0,184064.04857140905
10,8.0,5.0,9000.0,1.0,1.0,2008.0,2008.0,0.0,0.0,0.0,768.0,3.0,786.0,804.0,0.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,30.0,528456220.0,182489.87463822236
11,6.0,5.0,7862.0,0.0,1.0,2009.0,2009.0,0.0,1.0,27.0,1191.0,3.0,1218.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,102.0,528456240.0,175208.70427278135
12,7.0,5.0,7993.0,0.0,1.0,2008.0,2009.0,0.0,0.0,0.0,1436.0,3.0,1436.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,121.0,528458020.0,206855.52384370824
13,8.0,5.0,8640.0,1.0,1.0,2009.0,2009.0,72.0,1.0,936.0,364.0,3.0,1314.0,0.0,1.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,135.0,112.0,528458040.0,209385.31129863337
14,7.0,5.0,8640.0,1.0,1.0,2008.0,2008.0,0.0,0.0,0.0,1402.0,3.0,1402.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,3.0,2.0,205.0,126.0,528458060.0,205981.41236783366
15,7.0,5.0,7500.0,1.0,1.0,2004.0,2005.0,0.0,1.0,410.0,811.0,3.0,1221.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,3.0,2.0,0.0,113.0,528488100.0,195176.81692451687
16,7.0,5.0,8736.0,0.0,1.0,2003.0,2004.0,0.0,1.0,771.0,422.0,3.0,1553.0,0.0,1.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,192.0,88.0,528490040.0,204995.95502903414
17,7.0,5.0,8127.0,0.0,1.0,2003.0,2003.0,0.0,1.0,410.0,402.0,3.0,812.0,841.0,1.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,45.0,528490070.0,187992.049526524
18,6.0,6.0,11717.0,0.0,1.0,1970.0,1970.0,571.0,0.0,0.0,1442.0,1.0,1442.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,3.0,2.0,371.0,0.0,534127130.0,163408.05580939015
19,6.0,7.0,9156.0,0.0,1.0,1968.0,1968.0,0.0,0.0,0.0,1489.0,2.0,1489.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,3.0,2.0,0.0,0.0,534127170.0,131778.08287002044
20,7.0,6.0,10382.0,0.0,1.0,1973.0,1973.0,240.0,1.0,859.0,216.0,3.0,1053.5,983.0,1.0,1.0,2.0,3.0,7.0,2.0,3.0,2.0,235.0,204.0,534128010.0,216223.61771028367
21,7.0,6.0,12732.0,0.0,1.0,1974.0,1974.0,0.0,1.0,560.0,150.0,1.0,1285.0,782.0,0.0,1.0,2.0,3.0,7.0,2.0,3.0,2.0,297.0,40.0,534128020.0,166780.01010159732
22,7.0,5.0,10400.0,1.0,1.0,1998.0,1998.0,0.0,0.0,0.0,866.0,3.0,866.0,913.0,0.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,198.0,36.0,907175100.0,185926.0782414831
23,7.0,5.0,10335.0,0.0,1.0,1999.0,1999.0,183.0,1.0,679.0,811.0,3.0,1501.0,3041.0,1.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,144.0,29.0,907180130.0,244675.46982623168
24,7.0,5.0,9017.0,0.0,1.0,1999.0,1999.0,0.0,1.0,560.0,871.0,3.0,1431.0,0.0,1.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,35.0,907181100.0,190919.30481792937
25,6.0,5.0,8750.0,1.0,1.0,1998.0,1998.0,120.0,1.0,606.0,322.0,3.0,928.0,844.0,1.0,1.0,2.0,3.0,7.0,1.0,3.0,2.0,150.0,96.0,907185050.0,218735.08403365224
26,7.0,5.0,8935.0,0.0,1.0,2002.0,2002.0,95.0,0.0,0.0,831.0,3.0,831.0,829.0,0.0,1.0,2.0,3.0,7.0,0.0,3.0,2.0,144.0,68.0,907192030.0,185588.54803145688
27,7.0,5.0,9808.0,0.0,1.0,2002.0,2002.0,110.0,1.0,788.0,785.0,3.0,1573.0,0.0,1.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,72.0,907192090.0,200009.83913279328
28,7.0,5.0,8750.0,1.0,1.0,1997.0,1998.0,209.0,1.0,1111.0,306.0,3.0,1417.0,0.0,1.0,0.0,20.0,3.0,7.0,1.0,3.0,2.0,60.0,0.0,907280170.0,212678.2136132801
29,7.0,5.0,9375.0,1.0,1.0,1997.0,1998.0,573.0,1.0,739.0,318.0,3.0,1057.0,977.0,1.0,1.0,2.0,3.0,8.0,0.0,3.0,2.0,576.0,36.0,907285020.0,238905.03992247026
30,7.0,5.0,8750.0,1.0,1.0,1996.0,1996.0,72.0,0.0,0.0,880.0,3.0,909.0,807.0,0.0,1.0,2.0,2.0,7.0,1.0,3.0,2.0,0.0,120.0,907285050.0,183293.2651461179
31,6.0,5.0,8000.0,1.0,1.0,1995.0,1996.0,72.0,1.0,219.0,554.0,2.0,773.0,885.0,1.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,224.0,84.0,527163100.0,193605.95147922877
32,7.0,5.0,10832.0,0.0,1.0,1994.0,1996.0,0.0,0.0,0.0,712.0,3.0,1053.5,809.0,0.0,1.0,2.0,3.0,7.0,1.0,3.0,2.0,143.0,46.0,527164120.0,182915.67175349547
33,6.0,5.0,14067.0,1.0,1.0,1991.0,1991.0,194.0,1.0,504.0,332.0,2.0,851.0,858.0,1.0,1.0,2.0,3.0,7.0,0.0,3.0,2.0,0.0,40.0,527165010.0,154564.88260626706
34,8.0,5.0,4671.0,0.0,0.0,1988.0,1989.0,0.0,1.0,767.0,461.0,2.0,1228.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,3.0,2.0,168.0,120.0,527183030.0,196486.63575113955
35,8.0,5.0,5950.0,0.0,0.0,1989.0,1989.0,0.0,1.0,319.0,1018.0,2.0,1337.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,3.0,2.0,0.0,73.0,527183060.0,183951.56244453977
36,7.0,5.0,8010.0,0.0,1.0,2002.0,2003.0,0.0,0.0,0.0,840.0,3.0,840.0,880.0,0.0,1.0,2.0,3.0,7.0,1.0,2.0,2.0,138.0,48.0,528240050.0,181494.48258167197
37,7.0,5.0,8396.0,0.0,1.0,2003.0,2003.0,196.0,0.0,0.0,847.0,3.0,847.0,1139.0,0.0,1.0,2.0,4.0,9.0,1.0,2.0,2.0,120.0,48.0,528250030.0,216159.87091864375
38,7.0,6.0,7301.0,0.0,0.0,2007.0,2008.0,176.0,1.0,876.0,474.0,3.0,1358.0,0.0,1.0,0.0,20.0,2.0,6.0,1.0,3.0,2.0,192.0,26.0,528253020.0,210004.3745620873
39,6.0,5.0,10261.0,0.0,1.0,2000.0,2000.0,318.0,0.0,0.0,936.0,3.0,962.0,830.0,1.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,0.0,0.0,528280130.0,172463.0755447461
40,7.0,5.0,8220.0,0.0,1.0,2000.0,2001.0,647.0,1.0,544.0,438.0,3.0,1008.0,884.0,0.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,108.0,0.0,528280180.0,211896.11202353513
41,6.0,5.0,8125.0,1.0,1.0,1994.0,1998.0,258.0,1.0,1138.0,270.0,3.0,1679.0,0.0,1.0,0.0,2.0,3.0,7.0,1.0,3.0,2.0,224.0,42.0,531382120.0,218503.78365722494
42,7.0,5.0,14565.0,0.0,1.0,1994.0,1995.0,145.0,1.0,537.0,295.0,3.0,832.0,825.0,0.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,144.0,74.0,531384030.0,184656.0493694842
43,6.0,5.0,8450.0,1.0,1.0,2001.0,2001.0,0.0,1.0,472.0,355.0,3.0,827.0,850.0,1.0,1.0,2.0,3.0,7.0,0.0,3.0,2.0,0.0,68.0,531385060.0,187875.29306837617
44,6.0,5.0,13142.0,0.0,1.0,1997.0,1997.0,128.0,1.0,688.0,176.0,3.0,872.0,899.0,1.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,96.0,907176010.0,198945.73474258574
45,7.0,5.0,8998.0,0.0,1.0,2000.0,2000.0,120.0,1.0,527.0,255.0,3.0,782.0,870.0,0.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,70.0,907181120.0,178314.49041873406
46,7.0,5.0,9179.0,0.0,1.0,1999.0,1999.0,158.0,1.0,633.0,240.0,3.0,882.0,908.0,1.0,1.0,2.0,3.0,7.0,0.0,3.0,2.0,0.0,88.0,907181140.0,196695.61022088642
47,7.0,5.0,8924.0,0.0,1.0,1998.0,1999.0,0.0,0.0,0.0,880.0,3.0,880.0,844.0,0.0,1.0,2.0,3.0,8.0,0.0,3.0,2.0,120.0,155.0,907187030.0,191684.87550137032
48,7.0,5.0,9382.0,0.0,1.0,1999.0,2000.0,125.0,0.0,0.0,1468.0,3.0,1479.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,120.0,25.0,907187080.0,184167.73073528596
49,7.0,5.0,12803.0,0.0,1.0,2002.0,2002.0,99.0,1.0,922.0,572.0,3.0,1494.0,0.0,1.0,0.0,2.0,3.0,6.0,1.0,3.0,2.0,192.0,36.0,907192130.0,227327.65738605362
50,7.0,5.0,10400.0,1.0,1.0,2001.0,2001.0,227.0,0.0,0.0,1257.0,3.0,1290.0,871.0,0.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,0.0,84.0,907253110.0,198316.26163184407
51,8.0,5.0,9066.0,0.0,1.0,1999.0,2000.0,320.0,1.0,668.0,336.0,3.0,1004.0,848.0,0.0,1.0,2.0,3.0,7.0,2.0,3.0,3.0,224.0,106.0,907254020.0,246648.54415556628
52,7.0,5.0,11404.0,0.0,1.0,1998.0,1999.0,202.0,1.0,252.0,901.0,3.0,1153.0,878.0,0.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,192.0,84.0,907254090.0,202601.95980017158
53,7.0,5.0,9135.0,1.0,1.0,2002.0,2003.0,113.0,1.0,810.0,726.0,3.0,1536.0,0.0,1.0,0.0,2.0,3.0,7.0,0.0,3.0,2.0,192.0,74.0,907405020.0,231182.1399877188
54,7.0,5.0,8450.0,1.0,1.0,2003.0,2003.0,196.0,1.0,706.0,150.0,3.0,856.0,854.0,1.0,1.0,2.0,3.0,8.0,0.0,3.0,2.0,0.0,61.0,907405140.0,215497.12747102632
55,7.0,5.0,9750.0,1.0,1.0,2004.0,2004.0,50.0,1.0,24.0,1421.0,3.0,1445.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,35.0,907412040.0,191315.48451088535
56,7.0,5.0,8450.0,1.0,1.0,2004.0,2004.0,266.0,1.0,946.0,490.0,3.0,1436.0,0.0,1.0,0.0,2.0,3.0,8.0,0.0,3.0,2.0,139.0,98.0,907412070.0,217168.40156082867
57,7.0,5.0,8320.0,1.0,1.0,2004.0,2004.0,0.0,1.0,490.0,280.0,3.0,770.0,812.0,0.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,0.0,45.0,907412080.0,182264.97918207027
58,7.0,6.0,11952.0,1.0,1.0,1977.0,1977.0,0.0,0.0,0.0,808.0,1.0,1161.0,808.0,0.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,0.0,0.0,527325110.0,170166.57739523053
59,6.0,6.0,12046.0,0.0,1.0,1976.0,1976.0,298.0,1.0,156.0,692.0,1.0,1053.5,912.0,0.0,1.0,2.0,4.0,8.0,1.0,3.0,2.0,0.0,224.0,527327050.0,171892.20410269924
60,6.0,6.0,10140.0,1.0,1.0,1974.0,1974.0,196.0,1.0,888.0,228.0,3.0,1053.5,0.0,1.0,0.0,2.0,3.0,6.0,1.0,3.0,2.0,0.0,0.0,527375180.0,141124.2306762251
61,7.0,5.0,11050.0,0.0,1.0,1975.0,1975.0,0.0,1.0,636.0,540.0,0.0,1193.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,3.0,2.0,40.0,0.0,527375210.0,126801.3671070574
62,6.0,5.0,10140.0,1.0,1.0,1974.0,1974.0,174.0,0.0,0.0,1064.0,1.0,1350.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,3.0,2.0,0.0,0.0,527376100.0,142710.1280200193
63,6.0,6.0,10448.0,0.0,1.0,1972.0,1972.0,333.0,0.0,0.0,689.0,1.0,1378.0,741.0,0.0,1.0,2.0,3.0,7.0,1.0,3.0,2.0,0.0,104.0,527378140.0,172695.81345895072
64,7.0,5.0,11880.0,0.0,1.0,1978.0,1978.0,206.0,1.0,704.0,567.0,1.0,1601.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,3.0,2.0,0.0,0.0,527356040.0,164300.50491892704
65,7.0,5.0,10400.0,1.0,1.0,1976.0,1976.0,189.0,0.0,0.0,1090.0,1.0,1370.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0,3.0,2.0,0.0,0.0,527359050.0,141794.3114663616
66,6.0,5.0,8918.0,0.0,1.0,2005.0,2006.0,0.0,0.0,0.0,745.0,3.0,745.0,745.0,0.0,1.0,2.0,3.0,7.0,1.0,3.0,2.0,36.0,20.0,528220040.0,172523.76455815157
67,6.0,5.0,12589.0,0.0,1.0,2005.0,2005.0,0.0,0.0,0.0,742.0,3.0,742.0,742.0,0.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,36.0,24.0,528221060.0,171757.50335152596
68,6.0,5.0,11911.0,0.0,1.0,2005.0,2005.0,0.0,0.0,0.0,684.0,3.0,684.0,876.0,0.0,1.0,2.0,3.0,6.0,1.0,2.0,2.0,100.0,38.0,528221070.0,174770.54525093918
69,7.0,5.0,3684.0,1.0,0.0,2007.0,2007.0,130.0,0.0,0.0,1373.0,3.0,1555.0,2693.0,0.0,0.0,20.0,2.0,7.0,1.0,3.0,3.0,143.0,20.0,528228290.0,175417.53745876998
70,5.0,7.0,9600.0,0.0,1.0,1940.0,1950.0,0.0,1.0,428.0,300.0,3.0,976.0,332.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,0.0,70.0,909276200.0,139316.5895750985
71,5.0,4.0,14680.0,0.0,1.0,1960.0,1960.0,0.0,1.0,793.0,480.0,3.0,1273.0,561.5,0.0,0.0,1.0,2.0,5.0,0.0,3.0,1.0,483.0,0.0,909277090.0,129264.62858526128
72,5.0,7.0,13360.0,0.0,1.0,1921.0,2006.0,0.0,1.0,713.0,163.0,3.0,964.0,561.5,1.0,0.0,1.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,909277100.0,123363.52511787723
73,5.0,6.0,7681.0,0.0,1.0,1921.0,1950.0,0.0,0.0,0.0,731.0,3.0,820.0,523.0,0.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,192.0,0.0,909278020.0,115842.33484646105
74,6.0,6.0,9750.0,1.0,1.0,1977.0,1977.0,0.0,1.0,767.0,135.0,3.0,926.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,3.0,1.0,319.0,0.0,914475010.0,129133.27745604973
75,6.0,7.0,9360.0,1.0,1.0,1977.0,1977.0,0.0,1.0,841.0,0.0,1.0,1287.0,0.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,302.0,39.0,914475030.0,172388.77431041654
76,7.0,5.0,9947.0,0.0,1.0,1990.0,1991.0,0.0,1.0,611.0,577.0,3.0,1217.0,0.0,1.0,0.0,2.0,3.0,6.0,0.0,3.0,2.0,168.0,27.0,914476380.0,181106.84831766403
77,5.0,5.0,11070.0,1.0,1.0,1991.0,1991.0,0.0,1.0,55.0,1527.0,1.0,1595.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,914476430.0,129602.56089999748
78,6.0,5.0,13695.0,1.0,1.0,2003.0,2004.0,0.0,1.0,814.0,300.0,3.0,1114.0,0.0,1.0,0.0,1.0,3.0,6.0,0.0,1.0,2.0,0.0,78.0,531375120.0,142140.1087691167
79,6.0,5.0,8366.0,0.0,1.0,2004.0,2004.0,0.0,0.0,0.0,798.0,3.0,798.0,842.0,0.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,138.0,45.0,531376010.0,176497.99018515743
80,5.0,6.0,8750.0,0.0,1.0,1970.0,1970.0,76.0,1.0,828.0,174.0,1.0,1002.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,527402220.0,135585.70479736698
81,6.0,8.0,7930.0,1.0,1.0,1969.0,2005.0,0.0,1.0,439.0,115.0,2.0,1026.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,171.0,48.0,527403040.0,128311.53991085365
82,5.0,5.0,7830.0,0.0,1.0,1970.0,1970.0,0.0,0.0,0.0,1180.0,1.0,1180.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,3.0,2.0,0.0,45.0,527404020.0,104465.99668844607
83,5.0,7.0,8510.0,0.0,1.0,1971.0,1971.0,178.0,1.0,500.0,543.0,3.0,1050.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,3.0,1.0,0.0,0.0,527404030.0,133215.45735388072
84,4.0,6.0,7038.0,1.0,1.0,1970.0,1970.0,72.0,1.0,726.0,138.0,1.0,864.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,210.0,0.0,527405130.0,117024.43387638197
85,4.0,6.0,6960.0,1.0,1.0,1970.0,1970.0,0.0,1.0,375.0,250.0,1.0,864.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,96.0,0.0,527405160.0,103138.15760105858
86,4.0,7.0,8120.0,1.0,1.0,1970.0,1970.0,0.0,1.0,191.0,673.0,3.0,864.0,2998.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,527405180.0,138325.55453827675
87,4.0,6.0,10500.0,1.0,1.0,1971.0,1971.0,0.0,1.0,524.0,160.0,2.0,864.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,216.0,0.0,527425060.0,106888.75211577684
88,4.0,7.0,9000.0,1.0,1.0,1971.0,2006.0,0.0,1.0,240.0,624.0,2.0,864.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,200.0,0.0,527425110.0,127906.64281084569
89,6.0,5.0,1680.0,1.0,0.0,1973.0,1973.0,504.0,1.0,254.0,229.0,1.0,483.0,504.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,527450280.0,95106.5605901655
90,5.0,6.0,2368.0,1.0,0.0,1970.0,1970.0,312.0,1.0,765.0,0.0,1.0,765.0,600.0,0.0,1.0,1.0,3.0,7.0,0.0,3.0,2.0,0.0,36.0,527451110.0,111058.61247049304
91,5.0,5.0,1680.0,1.0,0.0,1971.0,1971.0,142.0,0.0,0.0,630.0,1.0,630.0,672.0,0.0,1.0,2.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,527451320.0,88856.79965185106
92,6.0,6.0,1680.0,1.0,0.0,1972.0,1972.0,425.0,1.0,110.0,79.0,1.0,483.0,504.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,527451540.0,90949.33076137165
93,6.0,8.0,1680.0,1.0,0.0,1972.0,2007.0,510.0,1.0,162.0,321.0,2.0,483.0,504.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,1.0,250.0,0.0,527451640.0,105854.72404474579
94,8.0,5.0,14977.0,0.0,1.0,2006.0,2007.0,304.0,1.0,1350.0,626.0,3.0,1976.0,561.5,1.0,0.0,2.0,2.0,7.0,1.0,3.0,3.0,250.0,63.0,528114050.0,328399.6072908207
95,9.0,5.0,13654.0,0.0,1.0,2005.0,2006.0,365.0,0.0,0.0,1704.0,3.0,1722.0,1036.0,0.0,1.0,2.0,4.0,9.0,1.0,2.0,3.0,282.0,55.0,528118040.0,312750.8650677259
96,9.0,5.0,13688.0,0.0,1.0,2003.0,2004.0,664.0,1.0,1016.0,556.0,3.0,1572.0,1096.0,1.0,1.0,2.0,3.0,10.0,2.0,2.0,3.0,400.0,0.0,528166120.0,328081.5992915472
97,7.0,5.0,10625.0,1.0,1.0,2003.0,2004.0,292.0,1.0,866.0,132.0,3.0,1006.0,1040.0,1.0,1.0,2.0,3.0,8.0,1.0,2.0,3.0,320.0,62.0,528170070.0,256280.58679951477
98,8.0,5.0,10845.0,0.0,1.0,2003.0,2004.0,504.0,1.0,1149.0,454.0,3.0,1575.0,561.5,1.0,0.0,2.0,2.0,6.0,1.0,3.0,3.0,216.0,28.0,528172080.0,311480.40424793016
99,8.0,5.0,16900.0,1.0,1.0,2001.0,2002.0,1110.0,1.0,1075.0,404.0,3.0,1515.0,1134.0,1.0,1.0,2.0,4.0,10.0,1.0,3.0,3.0,0.0,60.0,528178070.0,357255.140157243
